Activation,Optimizer,Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Time (s)
ReLU,Adam,7,0.18786933731607028,0.2894147362709045,0.9295714285714286,0.8885,32.75734198093414
ReLU,Adam,8,0.16413994590441386,0.2976986181735992,0.9397142857142857,0.90175,32.75734198093414
ReLU,Adam,9,0.14568552201099338,0.267773118853569,0.945952380952381,0.9085,32.75734198093414
ReLU,Adam,10,0.12667508217976206,0.2942627103328705,0.9547619047619048,0.9075,32.75734198093414
ELU,SGD,1,1.1164108468918574,0.7575660710334777,0.6454285714285715,0.70025,36.86915144920349
ELU,SGD,2,0.6311467827615284,0.8097756242752076,0.7709047619047619,0.6855,36.86915144920349
ELU,SGD,3,0.5452433646179381,0.7248021855354309,0.8005238095238095,0.731,36.86915144920349
ELU,SGD,4,0.49493034748804,0.5117702803611756,0.8198571428571428,0.8185,36.86915144920349
ELU,SGD,5,0.4596369849159604,0.6173200616836548,0.8331904761904761,0.78775,36.86915144920349
ELU,SGD,6,0.4247230685097831,0.43865475058555603,0.8457142857142858,0.8415,36.86915144920349
ELU,SGD,7,0.4123493420283,0.45789860343933103,0.8532380952380952,0.83075,36.86915144920349
ELU,SGD,8,0.40248390949340096,0.44399460101127625,0.8566190476190476,0.8365,36.86915144920349
ELU,SGD,9,0.3939201458068121,0.489938138961792,0.859904761904762,0.8225,36.86915144920349
ELU,SGD,10,0.38669667877469743,0.4436680638790131,0.8613333333333333,0.833,36.86915144920349
ELU,Momentum,1,0.6443164447035108,0.42783323884010316,0.7679523809523809,0.85075,37.02942714691162
ELU,Momentum,2,0.3897682754085178,0.37887420988082887,0.8584761904761905,0.867,37.02942714691162
ELU,Momentum,3,0.34040625531332835,0.35082246613502505,0.8760952380952381,0.8715,37.02942714691162
ELU,Momentum,4,0.3017924208669435,0.313826651930809,0.8916190476190476,0.88575,37.02942714691162
ELU,Momentum,5,0.27561320626735686,0.2948892102241516,0.9017142857142857,0.89575,37.02942714691162
ELU,Momentum,6,0.23827245527825186,0.3009439632892609,0.9115714285714286,0.88775,37.02942714691162
ELU,Momentum,7,0.22382388713530132,0.2823625193834305,0.917952380952381,0.89225,37.02942714691162
ELU,Momentum,8,0.21291154870532808,0.28108602261543275,0.9211428571428572,0.89425,37.02942714691162
ELU,Momentum,9,0.20407381753694442,0.27182054352760315,0.9239047619047619,0.9035,37.02942714691162
ELU,Momentum,10,0.19349305443394751,0.2637597947120667,0.929047619047619,0.906,37.02942714691162
ELU,Adam,1,0.5019596610126041,0.3754596555233002,0.8182380952380952,0.86725,38.63903815746308
ELU,Adam,2,0.3179957339820408,0.32893427336215975,0.8855714285714286,0.88325,38.63903815746308
ELU,Adam,3,0.2644579713344574,0.31381831455230713,0.9034285714285715,0.88425,38.63903815746308
ELU,Adam,4,0.22336619474774316,0.2878053786754608,0.9153809523809524,0.892,38.63903815746308
ELU,Adam,5,0.18714518011183967,0.26404380989074705,0.9291904761904762,0.9045,38.63903815746308
ELU,Adam,6,0.15914659760963348,0.28097984063625336,0.9413333333333334,0.901,38.63903815746308
ELU,Adam,7,0.13055428905075506,0.2715503897666931,0.9517619047619048,0.91075,38.63903815746308
ELU,Adam,8,0.10603557890369779,0.313791625380516,0.960952380952381,0.904,38.63903815746308
ELU,Adam,9,0.0879282812496226,0.32244404780864716,0.9677142857142857,0.9075,38.63903815746308
ELU,Adam,10,0.0663223140296482,0.35317022061347964,0.9767142857142858,0.90025,38.63903815746308
LeakyReLU,SGD,1,1.3784587390082224,1.2159877996444701,0.5681904761904762,0.546,33.41617162227631
LeakyReLU,SGD,2,0.6894229281062172,2.5158521614074707,0.7416666666666667,0.349,33.41617162227631
